Date,Mkt-RF,SMB,HML,RF,Mkt
19700102,0.0118,0.0129,0.0101,0.00029,0.01209
19700105,0.0059,0.0067,0.0072,0.00029,0.00619
19700106,-0.0074,0.001,0.0021,0.00029,-0.00711
19700107,-0.0015,0.004,-0.0033,0.00029,-0.00121
19700108,0.0004,0.0018,-0.0017,0.00029,0.00069
19700109,-0.0031,0.0019,0.0007,0.00029,-0.00281
19700112,-0.008,-0.001,-0.0002,0.00029,-0.00771
19700113,0.0005,-0.0016,-0.0049,0.00029,0.00079
19700114,-0.0025,-0.0013,-0.0029,0.00029,-0.00221
19700115,-0.0004,-0.0006,-0.0061,0.00029,-0.00011
19700116,-0.0082,-0.0008,0.0067,0.00029,-0.00791
19700119,-0.0131,0.004,0.0107,0.00029,-0.01281
19700120,0.0017,0.0029,-0.0026,0.00029,0.00199
19700121,0.0006,0.0008,0.0011,0.00029,0.00089
19700122,0.0011,0.0016,-0.0006,0.00029,0.00139
19700123,-0.0106,-0.0013,0.0036,0.00029,-0.01031
19700126,-0.0113,-0.0029,0.0042,0.00029,-0.01101
19700127,-0.0067,0.002,-0.003,0.00029,-0.00641
19700128,-0.0099,0.0039,-0.0015,0.00029,-0.00961
19700129,-0.0133,-0.0009,0.0042,0.00029,-0.01301
19700130,-0.0088,-0.002,0.0092,0.00029,-0.00851
19700202,0.0082,-0.0063,-0.001,0.00032,0.00852
19700203,0.0126,-0.0015,-0.0025,0.00032,0.01292
19700204,-0.0074,-0.0031,0.0074,0.00032,-0.00708
19700205,-0.0041,-0.0017,0.0006,0.00032,-0.00378
19700206,0.0059,0.0015,-0.0033,0.00032,0.00622
19700209,0.0082,-0.0008,-0.0027,0.00032,0.00852
19700210,-0.0094,0.0034,0.0006,0.00032,-0.00908
19700211,0.009,-0.0018,-0.0084,0.00032,0.00932
19700212,-0.0021,0.0027,0.003,0.00032,-0.00178
19700213,-0.0018,-0.0003,0.0059,0.00032,-0.00148
19700216,-0.0007,0.0021,0.004,0.00032,-0.00038
19700217,-0.002,-0.0008,0.0022,0.00032,-0.00168
19700218,0.0119,-0.0051,-0.0006,0.00032,0.01222
19700219,0.0028,-0.0031,0.0046,0.00032,0.00312
19700220,0.0032,-0.0065,0.0085,0.00032,0.00352
19700224,-0.0003,-0.0011,0.0039,0.00032,2.00E-05
19700225,0.0152,-0.0024,0.003,0.00032,0.01552
19700226,-0.0053,0.0012,0.0055,0.00032,-0.00498
19700227,0.0069,0.0007,0.004,0.00032,0.00722
19700302,0.0013,-0.0016,0.0065,0.00027,0.00157
